tweets,likes,time
  kafka  on  the  shore  the  picture  of  dorian  gray  and  the  old  man  and  the  sea  the  old  man  and  the  sea  is  my  personal  favorite  so  that  one  is  a  must  read,0,2021-07-10 23:48:15
i finished the picture of dorian gray very humiliating to admit i started it over a year ago im so bad at reading physical books,0,2021-07-10 23:47:16
im reading the picture of dorian gray for the first time and this is lord henry lmao,1,2021-07-10 23:45:59
  la cauntatrice chauve ionesco in paris mid si still have the poster that i bought from the theatre when i was  i was mesmerisedalso rupert everett in the picture of dorian gray at   when i was  he was staggering,2,2021-07-10 22:57:00
currently reading the picture of dorian gray im getting a bit of a gay vibe from it not sure why ,1,2021-07-10 22:41:43
rewritehistory  to live is the rarest thing in the world most people exist that is all  the picture of dorian gray oscar wilde,0,2021-07-10 21:59:54
   what does nf mean gen  literally my go to is just gonna be mbs but i also got back into reading by reading classics and would recommend like the picture of dorian gray,1,2021-07-10 21:50:18
oh shit i never finished the picture of dorian gray,2,2021-07-10 21:46:06
  the picture of dorian gray,1,2021-07-10 21:43:07
btw helloo i'm new to   amp i'm looking for some mootsfavs  twilight aristole and dante discover the secrets of the universe  circe amp tsoa the hobbit the picture of dorian graytbr   looking for alaska i'll give you the sun city of bones the mistake,18,2021-07-10 21:27:42
flurry listening politely to me reading the picture of dorian gray to him  and mispronouncing too many words  ,9,2021-07-10 20:14:04
  the picture of dorian gray,0,2021-07-10 20:03:05
hiiii  im winnie  d new to   looking for mutuals  my favs the song of achilles  they both die at the end crush by richard siken  tbr  the picture of dorian gray six of crows kafka on the shorepleeease rt or like to be mutuals mwah ltfor u ,10,2021-07-10 19:46:46
the picture of dorian gray has big abo vibes all of it the whole book,2,2021-07-10 19:44:52
the picture of dorian gray is so,0,2021-07-10 19:22:13
 done with the picture of dorian gray by oscar wilde,0,2021-07-10 18:09:30
im annotating perks of being a wallflower for them and theyre annotating the picture of dorian gray for me,3,2021-07-10 18:07:27
just started reading the picture of dorian gray,0,2021-07-10 18:01:15
  if true the heart hides terrible things a good illustration is the picture of dorian gray by oscar wilde you have to know beyond the surface,1,2021-07-10 17:56:06
  wonwoo would be reading a classic i think so maybe something like peide and prejudice or the picture of dorian gray for some reason i feel like shua or hao might like crime so maybe sherlock or something like one of us is lying,0,2021-07-10 17:12:16
  just rereading the picture of dorian gray by oscar wilde while im waiting on a series of books to arrive in a day or two,0,2021-07-10 17:00:44
nowadays people know the price of everything and the value of nothing oscar wilde the picture of dorian gray,1,2021-07-10 14:13:26
enjoy actordirector james warwick's earphones award winning rendition of the picture of dorian gray his thrilling reading of agatha christie's the mysterious affair at styles and his nuanced take on the gospel according to st markshop ,0,2021-07-10 13:59:49
  they both die at the end pride and prejudice the picture of dorian gray the perks of being a wallflower  feet apart,0,2021-07-10 12:55:57
  the picture of dorian gray because i love it,1,2021-07-10 12:54:19
  kinda like the picture of dorian gray,0,2021-07-10 12:50:21
ever since i read the picture of dorian gray i literally cannot stop thinking about it and hyunjins skz player gives me such dorian gray vibes like literally everything about it reminds of the book ,2,2021-07-10 12:17:28
kinda wanna read the picture of dorian gray by oscar wilde,0,2021-07-10 11:50:26
'some things are more precious because they don't last long'  oscar wilde the picture of dorian gray       ,3,2021-07-10 11:40:18
  seeing the picture of dorian gray just made me realise i should be reading it rn,0,2021-07-10 10:45:17
jadi pengen reread the picture of dorian gray  ,0,2021-07-10 10:39:57
i just bought the picture of dorian gray yay,3,2021-07-10 10:16:22
does anyone wanna buddy read the picture of dorian gray with me,2,2021-07-10 07:50:57
  its oscar wilde  the picture of dorian gray  my beloved,1,2021-07-10 07:37:11
  forever and ever if he has a soul its the picture of dorian gray,0,2021-07-10 03:46:05
  lord henry wotten from the picture of dorian gray,2,2021-07-10 03:34:57
while the words mean different things distinguishing between a tragic event and a tragedy is difficult in times when the scale of human loss and human failure boggle the mind     ,1,2021-07-10 02:55:32
  i really like fiction books some of my favorite books in general are the red queen seriesfantasy the picture of dorian gray classic salt to the sea historical fiction and the glass castle memoir,1,2021-07-10 01:49:13
the  adaptation of the picture of dorian gray is the best because it's the only one where the actual picture doesn't suck,2,2021-07-10 00:56:02
i thought yall were kidding but man oscar wilde kinda went off with the picture of dorian gray,13,2021-07-10 00:28:59
  it does look so good but also random but is that the picture of dorian gray one of my fave books hehe,1,2021-07-10 00:05:37
prompt   an aesthetic photoset based on the picture of dorian gray by oscar wilde,0,2021-07-09 23:12:12
the picture of dorian gray which i dont really wanna read vs my fav fanfic pls,0,2021-07-09 22:59:09
somewhere your portrait growing monstrously hideous you cant hide who you are for much longer youve already been exposed and i will snatch the veil off the picture of dorian gray,0,2021-07-09 22:48:54
im bored im gonna read the picture of dorian gray bye,0,2021-07-09 22:48:41
  reading i recommend the picture of dorian gray by oscar wilde,0,2021-07-09 22:01:29
  my next book club meeting is in person not via zoom and that will be enjoyablethe picture of dorian gray by oscar wildeit's a victorian book club,0,2021-07-09 21:54:56
  the books that the world calls immoral are books that show the world its own shame oscar wilde in the picture of dorian gray,3,2021-07-09 21:37:58
to get back one's youth one has merely to repeat one's follies oscar wilde the picture of dorian gray,3,2021-07-09 19:34:36
new books from    the ten thousand doors of january  brave new world  shadow and bone  the bell jar  the picture of dorian gray  the invisible life of addie larue,0,2021-07-09 19:16:36
there is only one thing in the world worse than being talked about and that is not being talked about oscar wilde the picture of dorian gray,0,2021-07-09 19:00:12
oscar wilde the picture of dorian gray,16,2021-07-09 18:16:36
working on converting over oscar wilde's the picture of dorian gray to an epub for my class,0,2021-07-09 17:49:45
   wuthering heights von emily bront the picture of dorian gray von oscar wilde amp hamlet von shakespeare ,1,2021-07-09 17:48:16
 you will always be fond of me i represent to you all the sins you never had the courage to commit oscar wilde the picture of dorian gray    ,4,2021-07-09 17:00:02
rl oh is it too much to say that we are kindred spirits for oscar wilde's works always tug at my heartstrings as well i dare to say that the picture of dorian gray may be my most favorite novel ever i mean isn't i was dominated soul brain and power by you or cont,0,2021-07-09 16:52:25
  it would end up like the picture of dorian gray  nice pup and then turns into an evil monster,1,2021-07-09 15:59:37
m verdict reversed after lawyer calls makers of tobacco 'soulless enterprise of death' the improper argument included references to george orwells dystopian novel  and oscar wildes book the picture of dorian gray  via  ,0,2021-07-09 15:58:44
  this is basically the picture of dorian gray but pauline is out partying and drinking and fucking ladies and donkey kong's in the attic under a sheet,1,2021-07-09 15:57:02
  the picture of dorian gray by oscar wilde those two are definitely the toptier when it comes to making my mien softly melts into the reminiscent of an old love story the vintage rendezvous that once was happening in a certain place ,0,2021-07-09 15:47:24
  my past trauma and mistakes oh but in terms of books i plan to continue reading the picture of dorian gray by oscar wilde,40,2021-07-09 15:43:12
the picture of dorian gray  taught me that having a black an white film show a few well timed moments of color makes a more effective jumpscare than  of contemporary horror movies,13,2021-07-09 15:32:21
  not sure if u are into classics but recently i read the picture of dorian gray and its phenomenal for me at least,1,2021-07-09 15:20:03
