tweets,likes,time
RT @bluejjastor: Meetings this weekend at the WEF are planning this out. Seems to me that this would be perfect cover for the white hats to…,0,2021-07-12 18:10:25
"RT @Jazzyyassie: I dont know what to say but this took 2 hours 
*
*
*
""I must learn the art of war to get an A at Mr. Blades class""
#rivals…",0,2021-07-12 17:52:14
"The enemy of my enemy is my friend , the art of war...",0,2021-07-12 17:37:28
"– 6 Harpastum Ring Puzzle + Clear Achievement
   
 List Achievement:
- Cool It!
- Go With The Wind
- The Art of War
- Performance May Decline in Low Temperature
- Nothing Special, Just Practice
- Geronimo!
- Vicious Circle https://t.co/Cd3Igyaxgo",0,2021-07-12 17:35:37
"RT @ERlKAHANSON: marie matiko in the art of war, 2000. https://t.co/qP3KVlXPFd",0,2021-07-12 17:23:53
"@SentimentalPre2 “Haven’t you ever heard of ‘War &amp; Peace?’”

“Oh isn’t that the Chinese book about the art of war or whatever? Yeah, of course.”",0,2021-07-12 17:20:15
"RT @___Politician__: You will not always get to choose whom you will have to deal with, respective of how filthy rich you are.

Learn:

Pol…",0,2021-07-12 17:12:35
@Profess0rP @JisherFimbo @MzBerryThrows You literally have said nothing good instead of laughing and say do better without actually doing better. And this is coming from someone whose Twitter is full of depression and useful fodder to retort. I guess you never read the art of war. Good trolls use resources.,1,2021-07-12 17:01:03
"It's a game of 

Hide and Seek.
And even then, depending on the level of your opponent, the complexity of the environment, the scale of the conflict, the game is in constant flux. The art of War, the essence of strategy is exerting effort to leverage the materialization of it.",0,2021-07-12 16:57:25
"RT @champaran: If you know the enemy &amp; know yourself, you need not fear the result of a hundred battles. If you know yourself but not the e…",0,2021-07-12 16:57:20
"RT @kirillklip: #Bitcoin ""Subtle differences"" in cultures in the West &amp; in the East. In the West, some still try their luck spitting in the…",0,2021-07-12 16:49:22
"RT @kirillklip: Who will invest in #Bitcoin &amp; #Crypto of the stone age during ""Silk Road"" when it was used only by drug lords &amp; other crimi…",0,2021-07-12 16:49:19
"RT @kirillklip: You have to pay dollars even for ""#Bitcoin Pizza"". 

What institution will invest in Bitcoin &amp; Crypto of the Stone Age duri…",0,2021-07-12 16:49:15
"RT @kirillklip: #Bitcoin Panda Squeeze 

#China 🐉No banking accounts, no access to any payment systems. Everybody must report on you &amp; all…",0,2021-07-12 16:49:12
"RT @kirillklip: #China As far as authorities will be concerned, U don't exist with all your #Bitcoin daydreams, but all your illegal financ…",0,2021-07-12 16:49:08
"RT @kirillklip: Watch Laser Eyes

Death by thousand cuts is coming to #Bitcoin &amp; #Crypto Bubbles. You are out of ""The System"" if you are co…",0,2021-07-12 16:49:05
"RT @kirillklip: Very sad. VR illusion is over. Even great &amp; brilliant are not forever. Lust &amp; Greed corrupt ALL.

#Dodgecoin - End of Simul…",0,2021-07-12 16:48:41
"The Quran
The Art of War
The Prince
The Republic
The Structure of Scientific Revolutions
The Age of Spiritual Machines
Animal Farm https://t.co/JpOvSJW9J3",2,2021-07-12 16:40:51
"RT @kirillklip: #NFT ""The Bull Trap of Denial"". 

Stay safe, KK.

""The Art Of War"": #China's Gold And #Bitcoin Crypto Dragons. https://t.co…",0,2021-07-12 16:36:09
"RT @kirillklip: My translation of all #Bitcoin signals coming from #China:

""#Crypto Mania Death By Thousand Cuts""

https://t.co/BpCJBWKjkg…",0,2021-07-12 16:36:05
"RT @kirillklip: My translation of all signals coming from #China, maybe, you still can hodl your Crypto in your wallet, but all #Crypto inc…",0,2021-07-12 16:35:56
"RT @kirillklip: Invest in your own Google Translator &amp; watch Chinese Dragon very carefully. This is a beautiful creature, but it will burn…",0,2021-07-12 16:35:53
@CanuckReborn2 @KevRolfe I look at it more as the art of war.,0,2021-07-12 16:28:47
"""War. It's all you've ever known isn't it? You were so young when you survived the Clone War. No wonder you're as equipped in spirit to fight as well as you do. War is in your blood.

I study the art of war, work to perfect it. But you... You were forged by it."" -Thrawn to Hera https://t.co/ePkUjHnbns",9,2021-07-12 16:17:57
Grandkids practicing social distancing. 4 yr 8 months old Granddaughter is reading “The Art of War” https://t.co/ioRHhxv5sg,10,2021-07-12 16:15:05
"@GitxsanJt @prestonmajor @TheTxPundit @Ds_notes The guy said something about subversive tactics - I guess against the US. When asked for details, he instructed to read “The Art of War” and educate ourselves.  #Nutburgers.",1,2021-07-12 16:11:56
@KurtSchlichter @chadfelixg When it comes to invading Cuba I have nightmares of The Bay of Pigs. With the recent pull out from Afghanistan our government does not inspire confidence nor competence or seriousness when it comes to the art of war.,0,2021-07-12 16:00:10
"This book illustrates the art of war with dozens of medieval images from books and manuscripts, and reveals a wealth of social and military background on heraldry, armour, knights and chivalry, castles, sieges, and the arrival of gunpowder. https://t.co/nroKVDmME4",0,2021-07-12 15:57:29
@TheArtOfWar6 @JamesMMA10 OK the art of war with no picture of themselves. What are you hiding you angry little man?,0,2021-07-12 15:52:56
