tweets,likes,time
well this is interesting thomas cleary prolific translator of eastern texts dies at   cleary thomastranslation and interpretersdeaths obituariesbooks and literaturebuddhismtaoismmuslims and islamthe art of war book,0,2021-07-12 10:57:12
the art of war,0,2021-07-12 10:48:41
"""he who is prudent and lies in wait for an enemy who is not will be victorious"" ~ sun tzu the art of war",32,2021-07-12 10:30:32
hey atticbooks how much is the art of war by sun tzu,0,2021-07-12 10:02:43
let your plans be dark and impenetrable as night and when you move fall like a thunderbolt ~sun tzu the art of war  so what is planning  swap  quickly with vaultoro direct at,4,2021-07-12 10:00:12
"no i think its nice in the meet the soldier he just say the ""art of war"" sentence so its not a proof of something related to be intellect its like a dumb badass soldier",0,2021-07-12 09:36:03
"clearly u guys havent read the art of war the bible of war  ""the supreme art of war is to subdue the enemy without fighting""",0,2021-07-12 09:09:19
"""subtle differences"" in cultures in the west amp in the east in the west some still try their luck spitting in the police officer face in the east ""an order"" must be followed by ""execution""   your dreams before tether️️",3,2021-07-12 09:02:38
"who will invest in amp of the stone age during ""silk road"" when it was used only by drug lords amp other criminals   jumped the shark this time frontrunning their high networth clients    hedge your dreams tether️️",3,2021-07-12 09:02:16
"you have to pay dollars even for ""pizza""   what institution will invest in bitcoin amp crypto of the stone age during ""silk road"" when it was used only by drug lords amp other criminals    hedge your dreams before tether️️",2,2021-07-12 08:59:57
panda squeeze   no banking accounts no access to any payment systems everybody must report on you amp all your illegal activities telephone hotlines are already in operation   your dreams before tether️️ silver,2,2021-07-12 08:59:35
as far as authorities will be concerned u dont exist with all your daydreams but all your illegal financial moves will be qualified under antimoney laundering financing of terrorism amp applicable laws   hedge tether️️,2,2021-07-12 08:57:44
"im telling my kids soulja boy wrote ""the art of war""",0,2021-07-12 08:57:33
"watch laser eyes  death by thousand cuts is coming to amp bubbles you are out of ""the system"" if you are connected to the crypto business in any form or shape   your dreams before tether️️ silversqueeze️",3,2021-07-12 08:57:27
"""the bull trap of denial""   stay safe kk  ""the art of war"" chinas gold and crypto dragons   $mstr $gbtc $arkk $glxy $coin  your dreams before tether️️ silversqueeze️",2,2021-07-12 08:57:10
"my translation of all signals coming from china  ""mania death by thousand cuts""    $mstr $gbtc $arkk $glxy   your dreams before tether️️ silversqueeze️",2,2021-07-12 08:52:48
"it depends on what your definition of a leader is there is a good book called ""the art of war"" by sun tzu there is a quote i love amp live by ""in order to lead people walk behind them"" by lao tzu good reading",0,2021-07-12 08:48:19
my translation of all signals coming from china maybe you still can hodl your crypto in your wallet but all including will be totally unplugged from the financial system    hedge your dreams before tether️️,2,2021-07-12 08:44:58
invest in your own google translator amp watch chinese dragon very carefully this is a beautiful creature but it will burn you alive once you decide to come close amp kiss it  $btc  your dreams before tether️️ silversqueeze,2,2021-07-12 08:44:40
i love references to the art of war,0,2021-07-12 08:12:38
in the battle field of a war all is fair the art of war,2,2021-07-12 08:05:38
july    charlottesville’s missing monuments china’s joy local vacancies  ultimate excellence lies  not in winning  every battle  but in defeating the enemy  without ever fighting  suntzu the art of war  john minford,6,2021-07-12 08:01:52
sun tzu  the art of war then is governed by five constant factors to be taken into account in ones deliberations when seeking to determine the conditions obtaining in the field quote,0,2021-07-12 07:55:02
"""english fans can go fuck themselves"" ~ sun tzu the art of war  arresttrumpnow",0,2021-07-12 07:31:47
politics its a dirty game most fight with emotions some have mastered the art of war,0,2021-07-12 07:31:25
the art of war,46,2021-07-12 07:15:06
what an insult to animal farm and the art of war to be in the same list as the rest,0,2021-07-12 07:04:54
biggest surprise the art of war by sun tzu fav new author madeline miller  newest fictional crush luc darkness addie larue newest fav character nikolai lantsov sampb book that made me cry the nightingale by kristen hannah and song of achillies by madeline miller,1,2021-07-12 07:00:38
can someone help i can’t remember which passage in sun tzu’s the art of war said if you miss the goal then we shall give you a group cuddle,3,2021-07-12 06:42:56
"""and the stupid man has no fear of death""  tu mus commentary on sun tzus the art of war chapter  attack by stratagem",1,2021-07-12 06:21:15
he is giving us practical lessons in the art of war,1,2021-07-12 06:11:21
special mentions the night circus by erin morgenstern  the secret history by donna tartt the art of war by sun tzu,1,2021-07-12 06:06:18
the art of war by sun tzu   for only php   dm to avail,0,2021-07-12 06:05:58
tried reading the art of war and my brain froze,0,2021-07-12 05:46:00
the art of war every episode  via youtube,0,2021-07-12 05:28:50
the art of war,2,2021-07-12 04:59:22
"the book in which sun tzu says ""to know your enemy you must become your enemy"" is called the art of war not the art of democracy",1,2021-07-12 04:31:12
he is sharing his methodology and we would do well to pay attention   know thy self know thy enemy a thousand battles a thousand victories  ― sun tzu the art of war,0,2021-07-12 04:29:00
he is sharing his methodology and we would do well to pay attention   know thy self know thy enemy a thousand battles a thousand victories  ― sun tzu the art of war,3,2021-07-12 04:27:56
"youd need to read ""the art of war"" by sunzi decider to understand why trouble makers get the money and peaceful activists get ignored",0,2021-07-12 04:04:08
"following the is based on   ""the art of war""  ""keep your friends close and your""",1,2021-07-12 03:36:36
the art of war,1,2021-07-12 03:04:59
try to buy the      art of war book on amazon it glitches and you can’t buy it lol,0,2021-07-12 02:55:09
i can’t stand tfg’s voice for one minute since i forced myself to listen to practically every word for almost  yrs i’m a student of sunzi the art of war know thy enemy next ~,1,2021-07-12 02:44:39
im going to force every queer person to read the art of war,1,2021-07-12 02:38:50
as sun tzu said in the art of war know your enemy and know yourself and in  battles you will be victorious,0,2021-07-12 02:18:16
in the art of war you beat the hell out of one enemy in the hopes of finding the culprit   if you get captured you dont reveal anything else other than your name rank and service number   you know who i am if im an enemy you know what to do with me,0,2021-07-12 01:44:00
"i disagree kait managed to control swarms and had myrrahs necklace her discovering the origin of her family would clearly help in the war ""know your enemy""  sun tzu the art of war and it doesnt change the fact that family searching has always existed in gears",0,2021-07-12 01:36:06
increasing chatter on xrp is never a bad thing the art of war,7,2021-07-12 01:31:59
the art of war,1,2021-07-12 01:23:10
same concept from sun tzu’s the art of war  autistic debate me types of libertarians are an impediment to liberty in that they prevent organization and hamper tactical maneuvering endangering themselves others and the strategic goals of the movement,8,2021-07-12 01:10:34
the art of war…  very smart sir,0,2021-07-12 01:04:28
there is no instance of a nation benefitting from prolonged warfare ― sun tzu the art of war,0,2021-07-12 00:56:33
july th the day of a new beginning   all war is desperation sunz zu the art of war,2,2021-07-12 00:52:17
the wise warrior avoids the battle  ―sun tzu the art of war,0,2021-07-12 00:49:46
"""victorious warriors first win the war then go to war the defeated warriors first go to the war then seek to win it""  sun tsu in the art of war",0,2021-07-12 00:41:19
this is what i was manufactured for the dirt the dark the art of war punish me punish me until im saved,0,2021-07-12 00:41:09
first rule in the art of war is to never start a war,28,2021-07-11 23:58:47
the opportunity to defeat the enemy is provided by the enemy himself sun tzu the art of war,0,2021-07-11 23:23:45
i suck his dick with a smile for hours at a time         tsun su the art of war,5,2021-07-11 23:22:58
sun tzu wrote the art of war more than two millennia ago nowadays chinese teenagers still read that book both russia and china are cultural nations and historical states we have perceptions of politics and foreign policy  in depth americans however are the perpetual consumers,16,2021-07-11 23:06:35
"""read over and over again the campaigns of alexander hannibal caesar gustavus turenne eugene and frederic… this is the only way to become a great general and master the secrets of the art of war"" – napoléon bonaparte history",0,2021-07-11 22:48:21
sun tzu the art of war the supreme art of war is to subdue the enemy without fighting kevin delivered scott got his arse kicked,2,2021-07-11 22:32:34
"exactly  sun tzus ""the art of war""",2,2021-07-11 22:32:28
the art of war,2,2021-07-11 22:07:06
the art of war is of vital importance to the state it is a matter of life and death a road either to safety or to ruin hence it is a subject of inquiry which can on no account be neglected  threelions,0,2021-07-11 21:50:13
the art of war is of vital importance to the state it is a matter of life and death a road either to safety or to ruin hence it is a subject of inquiry which can on no account be neglected  comeon,1,2021-07-11 21:41:42
ive been reading the art of war for six years now and i still havent finished chapter,0,2021-07-11 21:34:02
the  tenets of warfare gaslight gatekeep girlboss sun tzu the art of war,1,2021-07-11 21:33:09
we cannot fight the covid virus in the hospitals we can tame it only by vaccineinduced protection   why  because the wise warrior avoids the battle   ―sun tzu the art of war,0,2021-07-11 21:15:00
injustice year   the art of war  via youtube,0,2021-07-11 21:01:34
"it is from sun tzu  napoleon read "" the art of war "" like all great commanders",0,2021-07-11 20:42:52
the art of war and how to make twitter destroy itself gettr  is quite possibly just a trap that was designed to take down twitter you see gettr made a big deal about being able to import your tweets,0,2021-07-11 20:26:51
inene  the art of war put me to sleep  pages in animal farm slaps dou,0,2021-07-11 19:56:34
he who laughs first laughs last  the art of war is to subdue enemy i fink the italians will win  its a game of two halves italys turn now,1,2021-07-11 19:51:14
amazon keeps recommending the art of war to me and i can’t make it stop,0,2021-07-11 19:37:43
this is the art of war,1,2021-07-11 19:21:34
"sun tsz not to forget chapter  ""the art of war"" is still in use today",2,2021-07-11 19:14:31
thank you i have the art of war and rich man poor man will definitely check out the others,1,2021-07-11 19:12:11
check these if you havent  rich dad  poor dad the richest man in babylon  the millionaire next door the art of war secrets of the millionaire mind think and grow rich the  hour work week,2,2021-07-11 19:09:17
tommy looks like a salad that was thrown into the sewer and has been fermenting down there since the art of war was written,2,2021-07-11 19:05:55
list book online new all book fre | the art of war,0,2021-07-11 19:04:11
the fact is we have studied the americans in syria iraq and afghan they have not studied us at all  if you know the enemy and know yourself your victory will not stand in doubt – sun tzu the art of war,6,2021-07-11 18:59:46
he will win who knows when to fight and when not to fight– sun tzu the art of war,9,2021-07-11 18:52:25
you know that tzu sun never said that anywhere in the art of war,1,2021-07-11 18:50:52
the art of war ~sun tzu,1,2021-07-11 18:33:44
good luck  know the enemy know yourself and victory is never in doubt not in a hundred battles ― sun tzu   fifa,1,2021-07-11 18:19:04
baseball bats and furniture sections with things like stools  are a consolation to me in this regard as well as mini vacuum cleaner displays and the like clothing racks dismantle for rods  this is the art of war to be defended before battle beings,0,2021-07-11 18:09:58
my favorite book is the art of war one of the best advice for all paths of life,0,2021-07-11 18:07:16
a lot people need to read some the art of war and it shows,4,2021-07-11 17:58:12
the art of war,0,2021-07-11 17:45:36
came here for this and the art of war,2,2021-07-11 17:39:23
how should the united states respond to today’s security crises explains in his new book the art of war in an age of peace us grand strategy and resolute restraint,3,2021-07-11 17:25:00
dustin poirier should have his own the art of war equivalent hes got quotes,3,2021-07-11 17:14:28
"""the art of war"" by sun tzu after reading this i am ready to lay siege to a country apparently lots of politicians and businesspeople read thisso the ""most of this isnt allowed under the geneva convention"" line is interesting",0,2021-07-11 17:09:27
the art of war  people hate big tech amp big  pharmas control,1,2021-07-11 17:06:34
enter viejo he is skilled in the art of war and living off the land viejo also has a hidden past if rubbed the wrong way he is the man to fear    myart,0,2021-07-11 17:02:03
this is the reason i struggle with nonfiction i guess im subconsciously scared that ill turn into someone who lists the art of war as one of the best books ever written,0,2021-07-11 17:01:38
ahso why  amp  is taking in muslim amp asian immigrants  refugees you got to give it to them  they understand the art of war flood the market  the house i owned in chinatown vancouver is now worth  million dollars too bad i sold it in,0,2021-07-11 17:01:06
try this the art of war a graphic novel,0,2021-07-11 16:51:43
"how many of you have watch movie called ""salt""  guess how many agents from different countries work in ciafbideasecret serviceusarmy etc   ""the art of war""",0,2021-07-11 16:31:32
the art of war  the art of the deal amongst others weremy goto for i learned more in a year then could have ever done  years at my university i extend my vibes to you wherever you are in the worldto be the best you today possible it is doable,76,2021-07-11 16:27:48
victory comes from finding opportunities in problems  – sun tzu   fifa,0,2021-07-11 16:17:04
we cannot fight the covid virus in the hospitals we can tame it only by vaccineinduced protection   why  because the wise warrior avoids the battle  ―sun tzu the art of war  vincentrk,153,2021-07-11 15:54:19
napoleon in animal farm would definitely have read the art of war i bet manor farm was stuffed with books that farmer jones idiot had never opened and which the pigs read cover to cover and ill bet after figuring out the wifi password napoleon ordered a fuckload off amazon,0,2021-07-11 15:44:48
they probably haven’t read the art of war only explanation,1,2021-07-11 15:35:07
"""you cant cancel somebody that doesnt care about being canceled""  sun tzu the art of war",0,2021-07-11 15:27:38
placing the art of war in the same list with the art of of not giving a fuck,4,2021-07-11 15:25:37
~ things a real general knows ~  lesson  laying plans   sun tzu said the art of war is of vital importance to the state  ref gt,2,2021-07-11 15:25:36
dont disrespect the art of war by sun tzu,0,2021-07-11 15:22:53
strategy without tactics is the slowest route to victory tactics without strategy is the noise before defeat   – sun tzu   fifa,1,2021-07-11 15:22:03
anyone else notice the art of war behind him not a coincidence,1,2021-07-11 15:17:27
our favorite books as a country   add  rich dad poor dad the art of war  capitalistic nigga,0,2021-07-11 15:17:01
what the one book that everyone raves about but you couldnt get through   for me the art of war  i really want to learn all of these nuanced lessons but i cannot finish it,71,2021-07-11 15:04:07
"an mvp can be hacked together in a hackathon within h your idea of an mvp appears to be from the ""waterfall"" world hence your question is for ""a procedure"" agile is not a procedure but a way to think kaizen id recommend to reread ""the art of war""",0,2021-07-11 15:02:06
"if you find time grab and read ""the art of war""",1,2021-07-11 14:35:04
sun tzu the art of war edited  know when to fight and when not to fight  knows how to handle both superior and inferior forces  whose people are animated by the same spirit throughout all its ranks  who prepared themselves waits to take the enemy unprepared,0,2021-07-11 14:29:32
ive read the subtle art and the art of war while i liked them both id never recommend them  or anything else on this list  simply because there are more fun books out there please have fun when reading,1,2021-07-11 14:21:54
i reiterate again that jews do not pose a threat to china the chinese people and their state who is jewing whom in the end china has  years actually but whatever of history chinese kids learn the multiplication table at  read the art of war at  too smart to jew,15,2021-07-11 14:19:53
yeah i saw this already i thought the art of war in background was very interesting,0,2021-07-11 14:12:38
i love the art of war too o,1,2021-07-11 14:09:25
the  faults of generals from the art of war too much or not enough love for the troops or vices plus another that escapes me now thats,0,2021-07-11 14:02:22
final fantasy xiv online the art of war i silver psshare finalfantasyxivonline,1,2021-07-11 14:01:49
all warfare is based on deception strategy,0,2021-07-11 14:00:15
in the midst of chaos there is also opportunity sun tzu ~ the art of war  a spanish gatekeeper butterfly pyronia bathseba is hunted by a white spider while sucking on a morningbride scabiosa atropurpurea  serra despadà natural park paísvalencià,4,2021-07-11 13:36:27
i am not a fan of old folk law but when reading this books there is a lot of sense in the art of war,0,2021-07-11 13:33:12
my nine year old always gets super bossy when playing strategy games and tells me exactly what to do  he recently requested the art of war for his birthday and hes on chapter    starting to suspect he is the resurrection of an ancient warlord,14,2021-07-11 13:30:02
the art of war  sun tzu  guerilla warfarethe method  che guevara,0,2021-07-11 13:16:15
fact only can play the art of war on radio and get away with it  touchofsoul,3,2021-07-11 13:09:57
the best poker strategy advice from the art of war,2,2021-07-11 13:00:17
the art of war has to be one my favourite books  it’s filled with a lot of info but it’s not too deep very straightforward,2,2021-07-11 12:37:55
if you are far from the enemy make him believe you are near  – sun tzu   fifa,1,2021-07-11 12:33:03
the way you were both playing the art of war for weeks making it seem like you can’t cook   these look delicious ladies well done to the both of you  realsugar_foot,19,2021-07-11 12:21:09
the art of war is one of the world’s most revered books on strategy although this classic was compiled more than  ago there is still much you can learn from the writing on managing conflict wisely efficiently amp victoriously   this is true in business as much as politics,0,2021-07-11 12:08:20
southgate has read the art of war and works it into conversation with the boys i just made this up but its also definitely true,0,2021-07-11 12:07:11
theres like  good books on this list the art of war and animal farm,1,2021-07-11 11:59:10
the art of war trump doesn’t know how to stop he doesn’t know the meaning of quit he will make america great again we all know he can’t just walk away quietly the end won’t be for everyone you know who sent me,0,2021-07-11 11:58:43
in the midst of chaos there is also opportunity  – sun tzu   fifa,0,2021-07-11 11:33:03
"""the smaller they are the smaller the hitbox"" sun tzu the art of war",3,2021-07-11 10:57:42
victorious warriors win first and then go to war while defeated warriors go to war first and then seek to win  – sun tzu   fifa,0,2021-07-11 10:54:03
of course it helped that their primary opponents  the persian empire and byzantine empire  were exhausted from fighting each other but that too is part of the art of war,4,2021-07-11 10:47:10
not worth it you rather just go straight to the source material which is the art of war by sun tzu youre going to get more out of that  laws its a ruthless persona being presented and not a world  want to live in with people like that,8,2021-07-11 10:34:26
have you ever read history or the art of war humans are weak but unlike other species we dont rely  on instincts but stubbornness,0,2021-07-11 10:34:03
suntzu to see the sun and moon is no sign of sharp sight  kindleltthe art of wargt,0,2021-07-11 10:23:51
